version,mode,dataset_ratio,npp_lambda_2d,npp_lambda_1d,bbox_mask_weight,diff_alpha,diff_beta,npp_fpn_sources,data_yaml,project_dir,run_name,fitness,mAP50,mAP50-95,precision,recall,status,save_dir
v8,npp_only,10,0.04,0.0,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.0_mask0.3_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.04_l1d0.0_mask0.3_fpn15_18_21
v8,npp_only,25,0.04,0.02,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.02_mask0.1_fpn15_18_21,0.51006,0.85563,0.51006,0.80689,0.77715,success,runs/detect_25/train_npp_l2d0.04_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,10,0.04,0.02,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.02_mask0.1_fpn15_18_21,0.05138,0.08867,0.05138,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.04_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,25,0.04,0.02,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.02_mask0.2_fpn15_18_21,0.56026,0.85668,0.56026,0.74844,0.88206,success,runs/detect_25/train_npp_l2d0.04_l1d0.02_mask0.2_fpn15_18_21
v8,npp_only,10,0.04,0.02,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.02_mask0.2_fpn15_18_21,0.05138,0.08867,0.05138,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.04_l1d0.02_mask0.2_fpn15_18_21
v8,npp_only,25,0.04,0.02,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.02_mask0.3_fpn15_18_21,0.46167,0.86054,0.46167,0.78017,0.83352,success,runs/detect_25/train_npp_l2d0.04_l1d0.02_mask0.3_fpn15_18_21
v8,npp_only,10,0.04,0.02,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.02_mask0.3_fpn15_18_21,0.05138,0.08867,0.05138,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.04_l1d0.02_mask0.3_fpn15_18_21
v8,npp_only,25,0.04,0.04,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.04_mask0.1_fpn15_18_21,0.36441,0.75769,0.36441,0.70445,0.70926,success,runs/detect_25/train_npp_l2d0.04_l1d0.04_mask0.1_fpn15_18_21
v8,npp_only,10,0.04,0.04,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.04_mask0.1_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.04_l1d0.04_mask0.1_fpn15_18_21
v8,npp_only,25,0.04,0.04,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.04_mask0.2_fpn15_18_21,0.45431,0.81785,0.45431,0.70938,0.76839,success,runs/detect_25/train_npp_l2d0.04_l1d0.04_mask0.2_fpn15_18_21
v8,npp_only,10,0.04,0.04,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.04_mask0.2_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.04_l1d0.04_mask0.2_fpn15_18_21
v8,npp_only,25,0.04,0.04,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.04_l1d0.04_mask0.3_fpn15_18_21,0.46737,0.84015,0.46737,0.74635,0.81132,success,runs/detect_25/train_npp_l2d0.04_l1d0.04_mask0.3_fpn15_18_21
v8,npp_only,10,0.04,0.04,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.04_l1d0.04_mask0.3_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.04_l1d0.04_mask0.3_fpn15_18_21
