epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
108,632.562,0.0367017,0.20319,0.00100262,0.137187,0.158328,0.0810843,0.158328,0.80375,0.0515851,0.20838,0.191225,0.0001,1e-05
109,637.594,0.0348033,0.199848,0.0010531,0.130977,0.180212,0.0933758,0.180212,0.831625,0.0510652,0.200531,0.197671,0.0001,1e-05
110,642.434,0.0363716,0.206358,0.00120977,0.138659,0.17125,0.101099,0.17125,0.849375,0.0412256,0.20265,0.164709,0.0001,1e-05
111,647.38,0.0370399,0.207219,0.0014583,0.148368,0.172053,0.100114,0.172053,0.851125,0.037842,0.211856,0.166981,0.0001,1e-05
112,651.481,0.038249,0.200644,0.00101724,0.151308,0.150944,0.102635,0.150944,0.869625,0.0369508,0.206444,0.148833,0.0001,1e-05
113,656.104,0.0389279,0.1994,0.00137621,0.143048,0.142083,0.0792843,0.142083,0.80625,0.0482669,0.201998,0.199686,0.0001,1e-05
114,660.779,0.0436946,0.195463,0.000943855,0.160322,0.144365,0.0847589,0.144365,0.84025,0.0563006,0.203503,0.192936,0.0001,1e-05
115,665.714,0.0448838,0.201588,0.000904025,0.172687,0.135413,0.0805851,0.135413,0.804,0.0431305,0.206744,0.199669,0.0001,1e-05
116,670.348,0.0488382,0.206678,0.00116767,0.204228,0.134296,0.0789708,0.134296,0.806875,0.0387708,0.206827,0.188233,0.0001,1e-05
117,674.556,0.0389857,0.197923,0.00117368,0.152368,0.21552,0.104491,0.21552,0.83775,0.0464066,0.20017,0.185566,0.0001,1e-05
118,679.059,0.0410644,0.197098,0.000813933,0.149085,0.168343,0.118427,0.168343,0.814,0.0513701,0.194252,0.190275,0.0001,1e-05
119,683.931,0.0388715,0.197708,0.00106605,0.147679,0.167802,0.105815,0.167802,0.85525,0.0426964,0.197189,0.173925,0.0001,1e-05
120,688.874,0.0510122,0.189821,0.00112161,0.177202,0.156724,0.104826,0.156724,0.86125,0.040884,0.198782,0.17137,0.0001,1e-05
121,693.51,0.054034,0.19001,0.000996273,0.200133,0.206861,0.112428,0.206861,0.854125,0.0404252,0.19768,0.16652,0.0001,1e-05
122,697.592,0.0392706,0.19061,0.000939324,0.164224,0.221375,0.11592,0.221375,0.813125,0.0501675,0.205945,0.195124,0.0001,1e-05
123,702.166,0.0368684,0.195615,0.000777713,0.14884,0.23109,0.118778,0.23109,0.829875,0.0461412,0.203697,0.182537,0.0001,1e-05
124,706.908,0.0411672,0.18696,0.00109989,0.152724,0.207064,0.108479,0.207064,0.84725,0.0424919,0.203516,0.157436,0.0001,1e-05
125,711.717,0.0361681,0.195993,0.000807733,0.14727,0.140677,0.0830941,0.140677,0.80525,0.0424574,0.200389,0.187791,0.0001,1e-05
126,716.504,0.0556215,0.19439,0.00102382,0.259862,0.144809,0.076977,0.144809,0.751875,0.0453724,0.202553,0.221265,0.0001,1e-05
127,720.604,0.0403936,0.192248,0.00102076,0.162869,0.150913,0.0881407,0.150913,0.85,0.0369677,0.201319,0.153764,0.0001,1e-05
128,725.47,0.0287531,0.192803,0.000869134,0.121587,0.175066,0.0955332,0.175066,0.86275,0.033287,0.200959,0.143377,0.0001,1e-05
129,730.293,0.0381518,0.195725,0.000954548,0.15246,0.190387,0.109516,0.190387,0.83375,0.0380668,0.190898,0.171581,0.0001,1e-05
130,734.986,0.0416778,0.190874,0.000984909,0.168115,0.153336,0.100688,0.153336,0.836875,0.0413573,0.187775,0.171549,0.0001,1e-05
131,739.844,0.042258,0.188833,0.00104594,0.162999,0.149734,0.0811658,0.149734,0.831125,0.0407672,0.194367,0.168192,0.0001,1e-05
132,744.738,0.044479,0.185443,0.000887952,0.154929,0.191034,0.089218,0.191034,0.861875,0.0484775,0.193971,0.172125,0.0001,1e-05
133,749.591,0.0554184,0.190625,0.00097386,0.189758,0.168844,0.098743,0.168844,0.82125,0.0392308,0.197311,0.17363,0.0001,1e-05
134,754.412,0.0471832,0.189197,0.000711464,0.175936,0.186705,0.11398,0.186705,0.848875,0.0415227,0.19819,0.175859,0.0001,1e-05
135,759.238,0.0451725,0.186756,0.000742354,0.167496,0.192184,0.110467,0.192184,0.851625,0.0500425,0.195048,0.189589,0.0001,1e-05
136,763.986,0.0364913,0.179,0.00085099,0.159815,0.172661,0.108289,0.172661,0.84325,0.0409821,0.183942,0.177148,0.0001,1e-05
137,768.495,0.0439083,0.184542,0.000930487,0.163723,0.180145,0.119364,0.180145,0.873,0.0392246,0.19142,0.1527,0.0001,1e-05
138,772.655,0.0439968,0.188451,0.00114387,0.159838,0.207047,0.13116,0.207047,0.87875,0.0396969,0.181242,0.151409,0.0001,1e-05
139,777.46,0.0446496,0.179127,0.000932722,0.166389,0.211043,0.129396,0.211043,0.786,0.0483728,0.186781,0.199351,0.0001,1e-05
140,782.497,0.0515697,0.177158,0.00127879,0.18264,0.240154,0.142896,0.240154,0.834625,0.0456257,0.175368,0.196156,0.0001,1e-05
141,787.367,0.0447082,0.178452,0.000920192,0.176295,0.243017,0.165232,0.243017,0.881875,0.0384413,0.175351,0.156377,0.0001,1e-05
142,792.129,0.0519301,0.173727,0.00117523,0.176589,0.280919,0.191531,0.280919,0.824125,0.0467039,0.179721,0.188518,0.0001,1e-05
143,796.654,0.0492322,0.174486,0.00106254,0.179219,0.321041,0.187973,0.321041,0.869625,0.040237,0.168591,0.167918,0.0001,1e-05
144,800.943,0.0462815,0.173439,0.00101603,0.17765,0.363941,0.224684,0.363941,0.877875,0.0396671,0.168221,0.159626,0.0001,1e-05
