source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b100,75,2508.59,0.0845443,0.0218138,0.000267044,0.000155688,0.375635,0.961097,0.611645,0.945946,0.933333,0.0919545,0.0252515,0.372206,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,76,2541.39,0.0870117,0.0236595,0.000312757,0.000168338,0.379669,0.949901,0.421481,0.910256,0.946667,0.111469,0.0301122,0.544382,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,77,2574.68,0.0915081,0.0222691,0.000328641,0.000179307,0.404508,0.953548,0.557738,0.934211,0.946667,0.0920538,0.0204797,0.430454,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,78,2608.84,0.0917546,0.0177326,0.000288268,0.000163816,0.389111,0.944254,0.58856,0.957746,0.906667,0.0867801,0.0309204,0.386387,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,79,2642,0.0874992,0.0189582,0.000311699,0.000175714,0.380426,0.921094,0.400024,0.896104,0.92,0.126971,0.0274439,0.521963,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,80,2674.92,0.0893879,0.0184964,0.000286195,0.000161207,0.393668,0.978121,0.609283,0.947368,0.96,0.0922895,0.0152577,0.387467,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,81,2708.45,0.084818,0.0158517,0.000297163,0.000164756,0.3767,0.973379,0.573655,0.935897,0.973333,0.105925,0.0171998,0.43187,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,82,2741.11,0.0908213,0.0190439,0.00036498,0.000187847,0.380648,0.97177,0.563646,0.958904,0.933333,0.100939,0.0242742,0.410073,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,1,33.7961,0.254749,0.574962,0.00104388,0.000279225,0.636543,0.00446707,0.00178061,0.00643366,0.493333,0.150686,0.32645,0.584247,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,2,67.8699,0.119689,0.286565,0.00167247,0.000375192,0.424901,0.0161344,0.00853515,0.0254545,0.0933333,0.131158,0.278174,0.440353,0.0001,1e-05
