epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
80,267.021,0.0447437,0.209839,0.000904174,0.165093,0.117925,0.0578612,0.117925,0.845,0.0341355,0.210627,0.146525,0.0001,1e-05
81,270.266,0.0408887,0.206567,0.000900814,0.168049,0.103379,0.062974,0.103379,0.845625,0.0318605,0.209272,0.139887,0.0001,1e-05
82,273.734,0.0391026,0.202922,0.000862932,0.146274,0.103424,0.0654276,0.103424,0.84275,0.0392502,0.208111,0.148118,0.0001,1e-05
83,277.031,0.0371381,0.203697,0.000905919,0.147135,0.119428,0.0663164,0.119428,0.859,0.0430912,0.204351,0.152712,0.0001,1e-05
84,280.313,0.0420716,0.200024,0.00085719,0.164553,0.124982,0.0674867,0.124982,0.843625,0.0484754,0.203306,0.167839,0.0001,1e-05
85,283.682,0.0426488,0.200693,0.000913508,0.178813,0.108543,0.0681211,0.108543,0.83,0.0399134,0.204474,0.174959,0.0001,1e-05
86,287.082,0.0366173,0.1997,0.000838077,0.1604,0.139074,0.0811359,0.139074,0.853625,0.0463543,0.201554,0.178648,0.0001,1e-05
87,290.593,0.0412077,0.199463,0.000907968,0.173769,0.137664,0.0803482,0.137664,0.85675,0.0472527,0.2001,0.178626,0.0001,1e-05
88,293.87,0.0422541,0.19792,0.000890107,0.168824,0.106619,0.0629825,0.106619,0.785375,0.0478318,0.202492,0.204612,0.0001,1e-05
89,297.151,0.0463251,0.195984,0.000897085,0.174942,0.0817475,0.0468031,0.0817475,0.812375,0.0503031,0.203603,0.210938,0.0001,1e-05
90,300.514,0.0492888,0.201616,0.000955277,0.201385,0.0956083,0.0501028,0.0956083,0.73475,0.0572525,0.207882,0.290744,0.0001,1e-05
91,303.844,0.0482825,0.209569,0.000848719,0.194252,0.144984,0.0979226,0.144984,0.824625,0.0467926,0.20753,0.190324,0.0001,1e-05
92,307.19,0.0447177,0.211168,0.000845104,0.181451,0.155264,0.0916314,0.155264,0.83275,0.0480354,0.211298,0.179019,0.0001,1e-05
93,310.575,0.0442515,0.201348,0.000917113,0.182244,0.15333,0.0980275,0.15333,0.81975,0.0366913,0.209884,0.166253,0.0001,1e-05
94,313.931,0.0419314,0.211996,0.000868594,0.168602,0.14425,0.0782118,0.14425,0.83175,0.0382037,0.207966,0.162261,0.0001,1e-05
95,317.324,0.0473554,0.212271,0.000853868,0.170922,0.115992,0.0661201,0.115992,0.787875,0.0457791,0.207063,0.193749,0.0001,1e-05
96,320.647,0.0521386,0.207625,0.000877519,0.212732,0.155067,0.0811544,0.155067,0.819125,0.0459,0.205512,0.19301,0.0001,1e-05
97,323.917,0.0674195,0.209404,0.000850194,0.219428,0.162388,0.0930673,0.162388,0.837125,0.0381735,0.206342,0.16678,0.0001,1e-05
98,327.472,0.0361832,0.200692,0.000787354,0.1502,0.100741,0.0547913,0.100741,0.790125,0.0408943,0.208506,0.179702,0.0001,1e-05
99,330.853,0.0421325,0.20864,0.000843892,0.160481,0.0698166,0.0396271,0.0698166,0.73325,0.0521539,0.211924,0.211135,0.0001,1e-05
100,334.199,0.0563434,0.209247,0.000842489,0.225092,0.085445,0.0504956,0.085445,0.833375,0.0450867,0.20398,0.176038,0.0001,1e-05
101,337.667,0.041736,0.203187,0.0008354,0.164985,0.108024,0.0536517,0.108024,0.82,0.049578,0.204879,0.193415,0.0001,1e-05
102,340.96,0.0379125,0.210546,0.000873379,0.147384,0.116736,0.0627068,0.116736,0.855,0.039737,0.207989,0.161725,0.0001,1e-05
103,344.513,0.0327769,0.210075,0.000812903,0.135575,0.106713,0.0650436,0.106713,0.84675,0.0427866,0.206474,0.154746,0.0001,1e-05
104,347.771,0.0355424,0.20779,0.000845553,0.149366,0.125503,0.0715735,0.125503,0.8195,0.037973,0.211235,0.158875,0.0001,1e-05
105,351.314,0.0391236,0.207028,0.000792019,0.153439,0.139902,0.0893651,0.139902,0.818375,0.0406675,0.205474,0.17468,0.0001,1e-05
106,354.658,0.0451574,0.204146,0.000840694,0.174996,0.135009,0.0884613,0.135009,0.8815,0.0321756,0.204015,0.142178,0.0001,1e-05
107,358.011,0.0356056,0.205688,0.000764454,0.137602,0.204278,0.106396,0.204278,0.866125,0.0400263,0.203013,0.161617,0.0001,1e-05
108,361.344,0.0348218,0.201346,0.000822441,0.137995,0.232293,0.125653,0.232293,0.840875,0.0385961,0.203125,0.161423,0.0001,1e-05
109,364.768,0.0405464,0.200807,0.00076574,0.155314,0.245405,0.132291,0.245405,0.851,0.0440559,0.198554,0.16669,0.0001,1e-05
110,368.003,0.0422636,0.194382,0.000814282,0.15603,0.201449,0.105764,0.201449,0.773125,0.0519746,0.200624,0.228145,0.0001,1e-05
111,371.362,0.0414657,0.196597,0.000819138,0.184301,0.180362,0.0931449,0.180362,0.808875,0.0489058,0.202627,0.204616,0.0001,1e-05
112,374.699,0.0385169,0.196437,0.000783475,0.16835,0.155256,0.102161,0.155256,0.8175,0.0414962,0.19667,0.182667,0.0001,1e-05
113,378.12,0.0336294,0.201379,0.000750273,0.136482,0.166204,0.0915044,0.166204,0.8395,0.0322478,0.199077,0.146263,0.0001,1e-05
114,381.422,0.0367646,0.198547,0.000771444,0.156335,0.112023,0.0652084,0.112023,0.7765,0.0440395,0.207608,0.190222,0.0001,1e-05
115,384.776,0.0407393,0.201226,0.000758905,0.164342,0.119467,0.077165,0.119467,0.844,0.0342196,0.200035,0.158002,0.0001,1e-05
116,388.17,0.0337397,0.203555,0.000776307,0.147255,0.145764,0.093874,0.145764,0.8405,0.0397082,0.198912,0.167862,0.0001,1e-05
117,391.439,0.0364879,0.198811,0.000753074,0.14996,0.147318,0.098366,0.147318,0.8775,0.0313719,0.198583,0.138995,0.0001,1e-05
118,394.671,0.03541,0.19822,0.000796342,0.135196,0.142927,0.0892552,0.142927,0.86875,0.0276022,0.201228,0.118931,0.0001,1e-05
119,397.956,0.0339532,0.193603,0.000795612,0.137291,0.158555,0.097751,0.158555,0.8565,0.0310885,0.201341,0.142221,0.0001,1e-05
120,401.214,0.0352021,0.192822,0.00079558,0.132549,0.17528,0.106281,0.17528,0.867,0.03465,0.192522,0.139322,0.0001,1e-05
121,404.586,0.036441,0.188112,0.000813036,0.148813,0.15022,0.0932344,0.15022,0.844,0.037699,0.189181,0.157276,0.0001,1e-05
122,407.894,0.0351537,0.189252,0.000773068,0.140303,0.171962,0.110658,0.171962,0.861375,0.0330012,0.190504,0.147774,0.0001,1e-05
123,411.179,0.0408245,0.19484,0.000812881,0.159786,0.187137,0.103569,0.187137,0.8665,0.0300718,0.195671,0.134127,0.0001,1e-05
124,414.621,0.0376365,0.18553,0.000811687,0.154568,0.144475,0.088769,0.144475,0.85275,0.032163,0.197274,0.140754,0.0001,1e-05
125,417.823,0.0379647,0.19197,0.000800478,0.136341,0.120447,0.0751939,0.120447,0.84175,0.0320853,0.196892,0.137955,0.0001,1e-05
126,421.279,0.0372217,0.189525,0.000791973,0.160858,0.143759,0.092719,0.143759,0.873,0.0345493,0.192718,0.144457,0.0001,1e-05
127,424.559,0.0653699,0.193973,0.000770337,0.21303,0.196675,0.127819,0.196675,0.863625,0.0334455,0.189492,0.147646,0.0001,1e-05
128,427.895,0.0530397,0.177845,0.00074957,0.184042,0.244467,0.148103,0.244467,0.84975,0.0346916,0.188808,0.154085,0.0001,1e-05
129,431.293,0.0364052,0.186108,0.000776147,0.148398,0.230762,0.140264,0.230762,0.84375,0.0386677,0.185773,0.161821,0.0001,1e-05
130,434.622,0.0442082,0.180027,0.000765162,0.161621,0.250481,0.16758,0.250481,0.885,0.0312957,0.18544,0.138478,0.0001,1e-05
131,437.83,0.0320681,0.179409,0.000778115,0.130485,0.23601,0.158841,0.23601,0.89125,0.030943,0.187766,0.128464,0.0001,1e-05
132,441.359,0.0476958,0.17776,0.000706344,0.162149,0.217899,0.145211,0.217899,0.861625,0.0396788,0.190433,0.155975,0.0001,1e-05
133,444.699,0.0396799,0.177423,0.000749502,0.148054,0.218107,0.146143,0.218107,0.867,0.0363315,0.194753,0.148579,0.0001,1e-05
134,448.144,0.0411098,0.185711,0.000730883,0.160662,0.273345,0.170228,0.273345,0.89475,0.0315716,0.194085,0.131292,0.0001,1e-05
135,451.427,0.0381921,0.188598,0.000736059,0.148968,0.244821,0.150413,0.244821,0.898125,0.0355527,0.194332,0.14322,0.0001,1e-05
136,454.659,0.0312293,0.194735,0.000782406,0.116058,0.191786,0.122707,0.191786,0.853125,0.0379634,0.195991,0.154123,0.0001,1e-05
137,457.968,0.0322008,0.193061,0.000795048,0.121313,0.187107,0.122859,0.187107,0.834125,0.0420006,0.197441,0.189938,0.0001,1e-05
138,461.246,0.0474456,0.19374,0.000768819,0.184908,0.216296,0.125916,0.216296,0.881625,0.0331392,0.195881,0.134246,0.0001,1e-05
139,464.595,0.0298893,0.199521,0.000787708,0.126371,0.245903,0.139299,0.245903,0.879875,0.035287,0.197159,0.139821,0.0001,1e-05
140,468.023,0.0337095,0.191251,0.000717605,0.141434,0.214095,0.10709,0.214095,0.842,0.0463484,0.196788,0.177681,0.0001,1e-05
141,471.265,0.0351326,0.19349,0.000793733,0.145854,0.199033,0.0945268,0.199033,0.857625,0.0395397,0.199301,0.167851,0.0001,1e-05
142,474.592,0.0361868,0.199051,0.000771625,0.155372,0.173936,0.105198,0.173936,0.85025,0.0363388,0.193266,0.150412,0.0001,1e-05
143,477.925,0.035134,0.19529,0.000757874,0.150978,0.160928,0.0948857,0.160928,0.87125,0.0315327,0.199351,0.135906,0.0001,1e-05
144,481.376,0.0408521,0.193859,0.000752721,0.157722,0.13468,0.0741591,0.13468,0.797,0.0445388,0.200852,0.193315,0.0001,1e-05
145,484.618,0.038086,0.19184,0.000743027,0.155271,0.18522,0.086186,0.18522,0.801625,0.0553006,0.20117,0.228189,0.0001,1e-05
146,487.881,0.0458761,0.196273,0.000717152,0.180654,0.217713,0.107023,0.217713,0.8475,0.0388553,0.198837,0.192393,0.0001,1e-05
147,491.102,0.041108,0.198425,0.000788033,0.157796,0.217227,0.135084,0.217227,0.844,0.0408162,0.198366,0.175536,0.0001,1e-05
148,494.326,0.0393555,0.199965,0.000754998,0.157366,0.207145,0.139012,0.207145,0.8635,0.0424799,0.202438,0.158699,0.0001,1e-05
149,497.63,0.040906,0.200462,0.00071523,0.13905,0.200618,0.142069,0.200618,0.86925,0.0358768,0.19812,0.143392,0.0001,1e-05
150,501.083,0.0324216,0.197682,0.000694369,0.141059,0.19781,0.137088,0.19781,0.8995,0.0263609,0.196966,0.113051,0.0001,1e-05
151,504.376,0.0905411,0.207182,0.000693147,0.186177,0.171724,0.103308,0.171724,0.836,0.0386896,0.201303,0.162774,0.0001,1e-05
152,507.819,0.0427033,0.204481,0.000730145,0.183133,0.178179,0.0940407,0.178179,0.783375,0.0462864,0.206024,0.187366,0.0001,1e-05
153,511.146,0.0383933,0.196323,0.000753459,0.162948,0.229979,0.132436,0.229979,0.881875,0.0321532,0.195955,0.130803,0.0001,1e-05
154,514.411,0.0349051,0.196164,0.00074119,0.138253,0.234871,0.131543,0.234871,0.900875,0.0401203,0.193236,0.138057,0.0001,1e-05
155,517.778,0.0367725,0.192308,0.00075214,0.145664,0.201339,0.117352,0.201339,0.88075,0.0350523,0.195674,0.149997,0.0001,1e-05
156,521.184,0.0330135,0.202655,0.000707553,0.139417,0.160876,0.102038,0.160876,0.86475,0.0383081,0.201321,0.157065,0.0001,1e-05
157,524.626,0.0330142,0.195787,0.000709791,0.14391,0.149996,0.0962657,0.149996,0.8225,0.0364892,0.199091,0.165516,0.0001,1e-05
158,527.802,0.0365902,0.19364,0.000732473,0.142655,0.162174,0.116263,0.162174,0.842,0.0390144,0.195785,0.166463,0.0001,1e-05
159,531.072,0.0396942,0.18937,0.000724456,0.144015,0.169957,0.109384,0.169957,0.83825,0.0423778,0.198316,0.180094,0.0001,1e-05
160,534.494,0.038694,0.196031,0.000751418,0.141037,0.181366,0.12634,0.181366,0.875625,0.0391259,0.195411,0.151363,0.0001,1e-05
161,537.771,0.0386256,0.195349,0.000692827,0.142909,0.164776,0.117739,0.164776,0.85925,0.0455577,0.20106,0.163589,0.0001,1e-05
