experiment,param_2d,param_1d,final_epoch,final_mAP50,final_mAP50_95,final_precision,final_recall,final_train_loss_bbox,final_train_loss_ce,final_train_loss_giou,final_val_loss_bbox,final_val_loss_ce,final_val_loss_giou
detr_50_2d5_1d10,5,10,400,0.158864,0.109159,0.158864,0.914625,0.0230981,0.193804,0.0887164,0.0271415,0.192286,0.116125
detr_50_2d6_1d000,6,0,400,0.33821,0.253283,0.33821,0.89925,0.0279339,0.156917,0.114576,0.0418897,0.149886,0.164872
detr_50_2d6_1d1,6,1,400,0.547618,0.388206,0.547618,0.9135,0.0384307,0.142167,0.138922,0.041472,0.122917,0.171511
detr_50_2d6_1d2,6,2,400,0.130794,0.0935903,0.130794,0.898375,0.0246546,0.192934,0.0965986,0.0294643,0.192302,0.129458
detr_50_2d6_1d3,6,3,400,0.260793,0.209506,0.260793,0.908125,0.0308101,0.159461,0.117798,0.0350897,0.151325,0.142664
detr_50_2d6_1d4,6,4,400,0.24193,0.188548,0.24193,0.901,0.0222943,0.177201,0.08913,0.0287881,0.186122,0.120236
detr_50_2d6_1d5,6,5,400,0.902191,0.711939,0.902191,0.859625,0.0450319,0.0363685,0.206887,0.0494761,0.0245261,0.214205
detr_50_2d6_1d6,6,6,400,0.952595,0.716672,0.952595,0.890375,0.0455107,0.0627459,0.193503,0.0494174,0.0508533,0.208049
detr_50_2d6_1d7,6,7,400,0.220049,0.157755,0.220049,0.89675,0.0246976,0.180327,0.0985512,0.0312482,0.182296,0.132129
detr_50_2d6_1d8,6,8,400,0.431716,0.317812,0.431716,0.904375,0.030629,0.154651,0.115681,0.0357892,0.146821,0.13949
detr_50_2d6_1d9,6,9,400,0.18126,0.147756,0.18126,0.90725,0.0268495,0.174673,0.10145,0.0315781,0.167368,0.128046
detr_50_2d6_1d10,6,10,400,0.257854,0.155692,0.257854,0.895875,0.0256232,0.178965,0.0991223,0.0332287,0.17537,0.134731
detr_50_2d7_1d000,7,0,400,0.220183,0.153541,0.220183,0.88425,0.0307954,0.178169,0.114678,0.0314036,0.189078,0.134673
detr_50_2d7_1d1,7,1,400,0.599735,0.457487,0.599735,0.890625,0.0426869,0.0970071,0.162498,0.056345,0.0830395,0.207344
detr_50_2d7_1d2,7,2,400,0.580637,0.459849,0.580637,0.855875,0.0394857,0.107218,0.14216,0.0458952,0.0889496,0.180281
detr_50_2d7_1d3,7,3,400,0.384989,0.273825,0.384989,0.890125,0.0354224,0.127301,0.128956,0.0441574,0.125109,0.165997
detr_50_2d7_1d4,7,4,400,0.401242,0.306319,0.401242,0.902125,0.0366064,0.138608,0.135749,0.0457429,0.128201,0.174698
detr_50_2d7_1d5,7,5,400,0.12232,0.0929279,0.12232,0.896125,0.0290969,0.189353,0.10232,0.0318775,0.191068,0.127865
detr_50_2d7_1d6,7,6,400,0.196526,0.135169,0.196526,0.88425,0.0224742,0.191941,0.0913878,0.0299637,0.191795,0.136449
detr_50_2d7_1d7,7,7,400,0.401318,0.30936,0.401318,0.9155,0.0344878,0.155422,0.113528,0.0423341,0.143934,0.164133
detr_50_2d7_1d8,7,8,400,0.507703,0.41605,0.507703,0.9075,0.0426968,0.126453,0.133108,0.0424419,0.108152,0.173548
detr_50_2d7_1d9,7,9,400,0.826735,0.634819,0.826735,0.910375,0.0403267,0.0991352,0.162105,0.0473158,0.091195,0.18208
detr_50_2d7_1d10,7,10,400,0.720736,0.584269,0.720736,0.902625,0.0432769,0.0938035,0.166581,0.0505407,0.0761857,0.197919
detr_50_2d8_1d000,8,0,400,0.189075,0.144162,0.189075,0.900125,0.0274451,0.17794,0.10739,0.0320065,0.18978,0.125623
detr_50_2d8_1d1,8,1,400,0.216659,0.15306,0.216659,0.9115,0.0294147,0.175373,0.10519,0.0295972,0.175921,0.133051
detr_50_2d8_1d2,8,2,400,0.355934,0.274168,0.355934,0.91575,0.0338671,0.145704,0.131362,0.0391408,0.142461,0.157403
detr_50_2d8_1d3,8,3,400,0.105992,0.079332,0.105992,0.904125,0.0235295,0.197181,0.0947159,0.027361,0.190024,0.116423
detr_50_2d8_1d4,8,4,400,0.07704,0.0622234,0.07704,0.918875,0.0231443,0.19297,0.0859615,0.025034,0.197661,0.109573
detr_50_2d8_1d5,8,5,400,0.194089,0.142255,0.194089,0.900125,0.0232107,0.190112,0.0905183,0.0285547,0.188826,0.123383
detr_50_2d8_1d6,8,6,400,0.225602,0.16501,0.225602,0.90125,0.0310867,0.162975,0.114944,0.0345611,0.157706,0.146751
detr_50_2d8_1d7,8,7,400,0.278238,0.174347,0.278238,0.912375,0.0247017,0.183793,0.0922953,0.027897,0.183168,0.124709
detr_50_2d8_1d8,8,8,400,0.18443,0.135172,0.18443,0.918625,0.0249409,0.194132,0.0940787,0.0277235,0.189402,0.120762
detr_50_2d8_1d9,8,9,400,0.245421,0.193208,0.245421,0.910625,0.0306481,0.16504,0.113115,0.0315273,0.163645,0.12589
detr_50_2d8_1d10,8,10,400,0.328179,0.261017,0.328179,0.902375,0.0416891,0.12035,0.149226,0.0397326,0.113503,0.171762
detr_50_2d9_1d000,9,0,400,0.19618,0.130462,0.19618,0.922625,0.0252238,0.184972,0.0955665,0.0277826,0.185159,0.11157
detr_50_2d9_1d1,9,1,400,0.324757,0.226274,0.324757,0.898125,0.0322379,0.168487,0.112475,0.0378523,0.15757,0.148418
detr_50_2d9_1d2,9,2,400,0.190696,0.155865,0.190696,0.89925,0.0349555,0.157415,0.122299,0.0340643,0.149017,0.142775
