epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
105,338.602,0.0405277,0.207346,0.000264574,0.150572,0.0973739,0.0735328,0.0973739,0.888375,0.0307223,0.206392,0.123262,0.0001,1e-05
106,341.82,0.0350632,0.20823,0.000280151,0.137135,0.101952,0.0761669,0.101952,0.8705,0.0326887,0.207324,0.143695,0.0001,1e-05
107,345.027,0.0356105,0.208035,0.00025692,0.152345,0.0999508,0.0744214,0.0999508,0.851375,0.0423702,0.207177,0.16413,0.0001,1e-05
108,348.27,0.0346968,0.209959,0.000273659,0.13252,0.0983646,0.0738348,0.0983646,0.8565,0.0436195,0.205768,0.168674,0.0001,1e-05
109,351.581,0.0388714,0.206527,0.000254622,0.132636,0.0949318,0.0662462,0.0949318,0.836375,0.0401027,0.205094,0.188017,0.0001,1e-05
110,354.718,0.038652,0.206299,0.000271317,0.148015,0.0834994,0.0594088,0.0834994,0.823875,0.0401517,0.209084,0.179144,0.0001,1e-05
111,357.987,0.0400557,0.207604,0.00027466,0.164856,0.0924339,0.0643081,0.0924339,0.846875,0.035631,0.208802,0.158042,0.0001,1e-05
112,361.206,0.0305226,0.206552,0.000267124,0.137727,0.0963749,0.0711622,0.0963749,0.882125,0.0298346,0.211213,0.127496,0.0001,1e-05
113,364.414,0.0404045,0.208292,0.000258007,0.176801,0.0913308,0.0700108,0.0913308,0.84375,0.0418806,0.205649,0.167504,0.0001,1e-05
114,367.66,0.0373706,0.208054,0.000265712,0.148294,0.102776,0.0710885,0.102776,0.85225,0.0365718,0.209857,0.150696,0.0001,1e-05
115,370.993,0.0320008,0.209623,0.000259998,0.128394,0.117874,0.0813082,0.117874,0.813875,0.0405402,0.210564,0.165282,0.0001,1e-05
116,374.262,0.0386095,0.209837,0.000263287,0.1471,0.097767,0.0726544,0.097767,0.875625,0.0342578,0.207595,0.136251,0.0001,1e-05
117,377.462,0.0331331,0.206266,0.000255856,0.12918,0.0880892,0.0631506,0.0880892,0.888375,0.0370375,0.207891,0.146449,0.0001,1e-05
118,380.6,0.0364509,0.206718,0.000267775,0.133446,0.0947523,0.0675683,0.0947523,0.877375,0.0298073,0.207478,0.126231,0.0001,1e-05
119,383.774,0.0292263,0.206168,0.00026677,0.132692,0.0901005,0.0681136,0.0901005,0.86425,0.030284,0.207812,0.139838,0.0001,1e-05
